airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
92.38546,551.683167,552.876648,7.185821,4.314404,7.185821,4.314404,550.000122,550,659.646912,74.914734,1084.331421,301.401367,286.044403,0.147748,0.37993,1092.940674,-0.020533,0.143807,0.1,0,1
92.377762,555.300964,556.494385,7.183131,4.315757,7.183131,4.315757,550.000122,550,663.260254,74.913895,1083.719849,301.6297,286.251526,0.147751,0.380156,1091.996826,-0.020541,0.143745,0.1,0,1
92.364357,560.725891,561.919373,7.17886,4.316987,7.17886,4.316987,560.000122,560,668.676575,74.912651,1082.839966,301.972015,286.562408,0.147669,0.380415,1090.844116,-0.020551,0.143663,0.1,0,1
92.357704,564.340332,565.533813,7.176323,4.317149,7.176323,4.317149,560.000122,560,672.285034,74.911842,1082.278564,302.200409,286.769745,0.147589,0.380587,1090.140747,-0.020556,0.143604,0.1,0,1
92.350243,569.751831,570.945251,7.172377,4.316953,7.172377,4.316953,570.000122,570,677.694397,74.910683,1081.467651,302.543427,287.080811,0.147535,0.380864,1088.804932,-0.020558,0.143526,0.1,0,1
92.343559,573.355286,574.548706,7.170051,4.316809,7.170051,4.316809,570.000122,570,681.29834,74.90995,1080.954712,302.772308,287.288177,0.147514,0.381056,1087.91394,-0.020557,0.143472,0.1,0,1
92.331711,578.760315,579.953796,7.166387,4.316486,7.166387,4.316486,580.000122,580,686.701233,74.908928,1080.226685,303.115784,287.599243,0.147447,0.381338,1086.898804,-0.020556,0.143401,0.1,0,1
92.326111,582.362793,583.556274,7.164232,4.31613,7.164232,4.31613,580.000122,580,690.301208,74.908302,1079.769165,303.344971,287.80658,0.147401,0.381532,1086.337036,-0.020555,0.143351,0.1,0,1
92.31794,587.761536,588.955017,7.160902,4.31567,7.160902,4.31567,590.000122,590,695.698364,74.907463,1079.118408,303.688904,288.117523,0.147371,0.38181,1085.447144,-0.020553,0.143285,0.1,0,1
92.312645,591.357605,592.551086,7.158957,4.315492,7.158957,4.315492,590.000122,590,699.294739,74.906975,1078.710449,303.918182,288.324738,0.147367,0.381974,1084.840088,-0.020551,0.143239,0.1,0,1
92.304619,596.744263,597.937683,7.155911,4.315451,7.155911,4.315451,600.000122,600,704.686768,74.904907,1078.127808,304.26181,288.635437,0.1474,0.382154,1083.771973,-0.02055,0.143179,0.1,0,1
92.299774,600.335327,601.528748,7.154101,4.315363,7.154101,4.315363,600.000122,600,708.279907,74.902885,1077.763306,304.490753,288.842499,0.147384,0.382232,1083.234375,-0.02055,0.143138,0.1,0,1
92.29277,605.717896,606.911316,7.151277,4.314967,7.151277,4.314967,610.000122,610,713.667358,74.90007,1077.241089,304.834015,289.152893,0.147354,0.382307,1082.422974,-0.020549,0.143082,0.1,0,1
